customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_VLookup,internet_service,internet_service_VLookup,contract_type,contract_type_VLookup,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,monthly_charges
5893-KCLGT,Female,0,No,Yes,1,One Line,0,No Internet Service,2,2 Year,Mailed check,$19.75,"$1,567.00",No,79.34177215,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,$19.75
7083-MIOPC,Female,0,No,No,1,One Line,0,No Internet Service,2,2 Year,Credit card (automatic),$20.25,"$1,566.90",No,77.37777778,TRUE,FALSE,TRUE,FALSE,FALSE,0,,$20.25
8207-VVMYB,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$26.00,"$2,006.95",No,77.19038462,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$26.00
6010-DDPPW,Male,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$25.15,"$1,940.85",No,77.17097416,FALSE,FALSE,TRUE,FALSE,FALSE,1,,$25.15
3910-MRQOY,Female,0,Yes,No,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),$19.40,"$1,496.45",No,77.13659794,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$19.40
0784-ZQJZX,Male,0,No,Yes,1,One Line,0,No Internet Service,2,2 Year,Credit card (automatic),$19.90,"$1,529.65",No,76.86683417,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,$19.90
3836-FZSDJ,Male,1,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$24.85,"$1,901.00",No,76.49899396,FALSE,FALSE,TRUE,FALSE,FALSE,1,,$24.85
4625-XMOYM,Female,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$26.25,"$1,988.05",No,75.7352381,TRUE,FALSE,TRUE,FALSE,FALSE,3,,$26.25
8749-TZYEC,Male,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$24.80,"$1,874.30",No,75.5766129,FALSE,FALSE,TRUE,FALSE,FALSE,1,,$24.80
2452-MRMZF,Female,1,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$25.70,"$1,937.40",No,75.38521401,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$25.70
6348-SNFUS,Male,0,Yes,Yes,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),$55.45,"$4,179.20",No,75.36880072,FALSE,FALSE,FALSE,TRUE,FALSE,3,,$55.45
8237-ULIXL,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$24.85,"$1,871.85",No,75.32595573,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$24.85
6181-AXXYF,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$24.75,"$1,859.10",No,75.11515152,FALSE,FALSE,TRUE,FALSE,FALSE,3,,$24.75
6115-ZTBFQ,Female,0,Yes,No,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),$65.50,"$4,919.70",No,75.10992366,TRUE,FALSE,FALSE,TRUE,FALSE,1,,$65.50
3308-DGHKL,Male,0,No,No,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),$19.30,"$1,447.90",No,75.02072539,FALSE,FALSE,TRUE,FALSE,FALSE,0,,$19.30
0742-LAFQK,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,$99.15,"$7,422.10",No,74.85728694,FALSE,FALSE,TRUE,TRUE,TRUE,1,,$99.15
1166-PQLGG,Female,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),$19.55,"$1,463.45",No,74.85677749,TRUE,FALSE,TRUE,FALSE,FALSE,3,,$19.55
1987-AUELQ,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$25.05,"$1,873.70",No,74.79840319,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$25.05
2900-PHPLN,Female,1,Yes,No,1,One Line,0,No Internet Service,2,2 Year,Credit card (automatic),$19.55,"$1,462.05",No,74.78516624,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$19.55
7980-MHFLQ,Female,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Mailed check,$24.90,"$1,859.20",No,74.66666667,TRUE,FALSE,TRUE,FALSE,FALSE,3,,$24.90
7722-VJRQD,Male,0,Yes,Yes,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),$60.95,"$4,549.05",No,74.63576702,FALSE,FALSE,FALSE,TRUE,FALSE,3,,$60.95
7503-MIOGA,Female,1,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),$89.85,"$6,697.35",No,74.53923205,TRUE,FALSE,TRUE,TRUE,TRUE,1,,$89.85
0536-ACXIP,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,$109.55,"$8,165.10",No,74.53308991,TRUE,FALSE,TRUE,TRUE,TRUE,1,,$109.55
5248-RPYWW,Female,1,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),$90.15,"$6,716.45",No,74.50305047,TRUE,FALSE,TRUE,TRUE,TRUE,3,,$90.15
9351-HXDMR,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),$110.90,"$8,240.85",No,74.30883679,FALSE,FALSE,TRUE,TRUE,TRUE,1,,$110.90
5743-KHMNA,Male,0,No,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$25.55,"$1,898.10",No,74.28962818,FALSE,FALSE,TRUE,FALSE,FALSE,0,,$25.55
2274-XUATA,Male,1,Yes,No,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),$63.10,"$4,685.55",No,74.25594295,FALSE,FALSE,FALSE,TRUE,FALSE,1,,$63.10
4376-KFVRS,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),$114.05,"$8,468.20",No,74.2498904,FALSE,FALSE,TRUE,TRUE,TRUE,3,,$114.05
7115-IRDHS,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$24.65,"$1,830.05",No,74.24137931,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$24.65
4443-EMBNA,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$24.75,"$1,836.90",No,74.21818182,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$24.75
9499-XPZXM,Female,0,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),$64.75,"$4,804.75",No,74.2046332,TRUE,FALSE,TRUE,TRUE,TRUE,1,,$64.75
7606-BPHHN,Male,0,No,No,1,One Line,0,No Internet Service,2,2 Year,Credit card (automatic),$19.80,"$1,468.75",No,74.17929293,FALSE,FALSE,TRUE,FALSE,FALSE,0,,$19.80
0078-XZMHT,Male,0,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),$85.15,"$6,316.20",No,74.17733412,FALSE,FALSE,TRUE,TRUE,TRUE,1,,$85.15
9668-PUGNU,Male,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Electronic check,$24.50,"$1,816.20",No,74.13061224,FALSE,FALSE,TRUE,FALSE,FALSE,1,,$24.50
9769-TSBZE,Female,0,No,Yes,2,Two or More Lines,1,DSL,2,2 Year,Electronic check,$66.00,"$4,891.50",No,74.11363636,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,$66.00
9680-NIAUV,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),$109.70,"$8,129.30",No,74.10483136,TRUE,FALSE,TRUE,TRUE,TRUE,3,,$109.70
3118-UHVVQ,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$25.80,"$1,911.50",No,74.08914729,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$25.80
5879-HMFFH,Female,0,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),$88.05,"$6,520.80",No,74.05792164,TRUE,FALSE,TRUE,TRUE,TRUE,1,,$88.05
5884-FBCTL,Female,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Bank transfer (automatic),$25.10,"$1,857.85",No,74.01792829,TRUE,FALSE,TRUE,FALSE,FALSE,3,,$25.10
3865-YIOTT,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,1,1 Year,Bank transfer (automatic),$106.10,"$7,848.50",No,73.9726673,FALSE,FALSE,TRUE,TRUE,TRUE,3,,$106.10
4836-WNFNO,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$25.00,"$1,849.20",No,73.968,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$25.00
0164-APGRB,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,$114.90,"$8,496.70",No,73.948651,TRUE,FALSE,TRUE,TRUE,TRUE,0,,$114.90
9848-JQJTX,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Bank transfer (automatic),$100.90,"$7,459.05",No,73.92517344,FALSE,FALSE,TRUE,TRUE,TRUE,0,,$100.90
5324-KTGCG,Male,0,Yes,No,1,One Line,0,No Internet Service,1,1 Year,Electronic check,$20.85,"$1,539.75",No,73.84892086,FALSE,FALSE,TRUE,FALSE,FALSE,1,,$20.85
4077-HWUYD,Male,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),$87.55,"$6,463.15",No,73.82238721,FALSE,FALSE,TRUE,TRUE,TRUE,3,,$87.55
9739-JLPQJ,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),$117.50,"$8,670.10",No,73.78808511,TRUE,FALSE,TRUE,TRUE,TRUE,3,,$117.50
5168-MQQCA,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Bank transfer (automatic),$108.50,"$8,003.80",No,73.76774194,TRUE,FALSE,TRUE,TRUE,TRUE,1,,$108.50
0795-LAFGP,Male,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Electronic check,$90.40,"$6,668.05",No,73.76161504,FALSE,FALSE,TRUE,TRUE,TRUE,3,,$90.40
2169-RRLFW,Female,0,Yes,No,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),$25.60,"$1,888.25",No,73.75976563,TRUE,FALSE,TRUE,FALSE,FALSE,1,,$25.60
6161-ERDGD,Male,0,Yes,Yes,2,Two or More Lines,1,DSL,1,1 Year,Electronic check,$85.45,"$6,300.85",No,73.73727326,FALSE,FALSE,TRUE,TRUE,TRUE,3,,$85.45
9778-OGKQZ,Male,0,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Credit card (automatic),$92.00,"$6,782.15",No,73.71902174,FALSE,FALSE,TRUE,TRUE,TRUE,1,,$92.00
