customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_VLookup,internet_service,internet_service_VLookup,contract_type,contract_type_VLookup,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,monthly_charges
5287-QWLKY,Male,1,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$105.10,"$7,548.10",Yes,71.81826832,FALSE,TRUE,TRUE,TRUE,TRUE,3,,$105.10
5502-RLUYV,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$103.95,"$7,446.90",Yes,71.63924964,TRUE,TRUE,TRUE,TRUE,TRUE,3,,$103.95
0979-PHULV,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$99.45,"$7,007.60",Yes,70.46354952,FALSE,TRUE,TRUE,TRUE,TRUE,3,,$99.45
9090-SGQXL,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$105.30,"$7,299.65",Yes,69.32241216,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$105.30
4550-VBOFE,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$102.95,"$7,101.50",Yes,68.98008742,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$102.95
2632-UCGVD,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$100.05,"$6,871.90",Yes,68.68465767,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$100.05
1587-FKLZB,Male,1,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$99.50,"$6,822.15",Yes,68.56432161,FALSE,TRUE,TRUE,TRUE,TRUE,3,,$99.50
6818-WOBHJ,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$89.60,"$6,127.60",Yes,68.38839286,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$89.60
0324-BRPCJ,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$100.20,"$6,851.65",Yes,68.37974052,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$100.20
1891-FZYSA,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$89.95,"$6,143.15",Yes,68.29516398,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$89.95
3838-OZURD,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$105.00,"$7,133.25",Yes,67.93571429,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$105.00
2003-CKLOR,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,$99.50,"$6,710.50",Yes,67.44221106,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$99.50
0639-TSIQW,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$102.95,"$6,886.25",Yes,66.88926663,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$102.95
7207-RMRDB,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$105.50,"$6,985.65",Yes,66.21469194,TRUE,TRUE,TRUE,TRUE,TRUE,3,,$105.50
8444-WRIDW,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$80.45,"$5,224.35",Yes,64.9390926,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$80.45
9614-RMGHA,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$91.85,"$5,940.85",Yes,64.6799129,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$91.85
3419-SNJJD,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$105.25,"$6,786.40",Yes,64.47885986,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$105.25
1343-EHPYB,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$103.40,"$6,603.00",Yes,63.85880077,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$103.40
3571-RFHAR,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$109.15,"$6,941.20",Yes,63.59322034,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$109.15
0596-BQCEQ,Female,0,Yes,Yes,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,$100.15,"$6,283.30",Yes,62.73889166,TRUE,TRUE,TRUE,TRUE,TRUE,3,,$100.15
7549-MYGPK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$100.55,"$6,215.35",Yes,61.81352561,TRUE,TRUE,TRUE,TRUE,TRUE,3,,$100.55
9063-ZGTUY,Female,0,Yes,Yes,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,$19.40,"$1,182.55",Yes,60.95618557,TRUE,TRUE,TRUE,FALSE,FALSE,3,,$19.40
0310-MVLET,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$99.15,"$6,010.05",Yes,60.61573374,TRUE,TRUE,TRUE,TRUE,TRUE,3,,$99.15
7752-XUSCI,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$105.90,"$6,396.45",Yes,60.40084986,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$105.90
0407-BDJKB,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$95.75,"$5,742.90",Yes,59.97806789,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$95.75
7721-JXEAW,Male,0,Yes,No,0,No Phone Service,1,DSL,0,Month-to-Month,Bank transfer (automatic),$41.05,"$2,452.70",Yes,59.74908648,FALSE,TRUE,FALSE,TRUE,FALSE,1,,$41.05
4523-WXCEF,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$101.10,"$6,039.90",Yes,59.74183976,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$101.10
5073-WXOYN,Female,0,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,$50.80,"$3,027.40",Yes,59.59448819,TRUE,TRUE,FALSE,TRUE,FALSE,0,,$50.80
4446-BZKHU,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$105.55,"$6,281.45",Yes,59.51160587,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$105.55
0397-GZBBC,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$93.85,"$5,574.75",Yes,59.40063932,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$93.85
0946-CLJTI,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$98.70,"$5,812.60",Yes,58.89159068,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$98.70
9572-MTILT,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$106.75,"$6,252.90",Yes,58.57517564,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$106.75
3445-HXXGF,Male,1,Yes,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,$45.30,"$2,651.20",Yes,58.52538631,FALSE,TRUE,FALSE,TRUE,FALSE,1,,$45.30
5708-EVONK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$93.40,"$5,435.60",Yes,58.19700214,TRUE,TRUE,TRUE,TRUE,TRUE,3,,$93.40
0348-SDKOL,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$102.10,"$5,885.40",Yes,57.64348678,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$102.10
3132-TVFDZ,Male,1,Yes,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,$44.85,"$2,572.95",Yes,57.36789298,FALSE,TRUE,FALSE,TRUE,FALSE,1,,$44.85
5536-SLHPM,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$77.75,"$4,458.15",Yes,57.33954984,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$77.75
3768-NLUBH,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$100.60,"$5,746.15",Yes,57.11878728,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$100.60
0533-BNWKF,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$85.45,"$4,874.70",Yes,57.04739614,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$85.45
3207-OYBWH,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$95.25,"$5,427.05",Yes,56.97690289,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$95.25
3005-NFMTA,Male,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$98.80,"$5,617.75",Yes,56.85981781,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$98.80
6771-XWBDM,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$104.50,"$5,921.35",Yes,56.66363636,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$104.50
3791-LGQCY,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$100.65,"$5,688.05",Yes,56.51316443,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$100.65
1114-CENIM,Male,0,No,Yes,2,Two or More Lines,1,DSL,0,Month-to-Month,Credit card (automatic),$55.00,"$3,092.65",Yes,56.23,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,$55.00
1450-SKCVI,Female,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,$73.85,"$4,092.85",Yes,55.4211239,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$73.85
6987-XQSJT,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$79.50,"$4,370.25",Yes,54.97169811,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$79.50
4701-AHWMW,Male,0,Yes,No,0,No Phone Service,1,DSL,0,Month-to-Month,Bank transfer (automatic),$54.55,"$2,978.30",Yes,54.59761687,FALSE,TRUE,FALSE,TRUE,FALSE,1,,$54.55
1264-BYWMS,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$96.80,"$5,283.95",Yes,54.58626033,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$96.80
7056-IMHCC,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$101.90,"$5,549.40",Yes,54.4592738,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$101.90
5515-AKOAJ,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$100.10,"$5,440.90",Yes,54.35464535,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$100.10
3143-ILDAL,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$94.45,"$5,124.60",Yes,54.25727898,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$94.45
0486-HECZI,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$96.75,"$5,238.90",Yes,54.14883721,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$96.75
9079-YEXQJ,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$111.10,"$6,014.85",Yes,54.13906391,TRUE,TRUE,TRUE,TRUE,TRUE,0,,$111.10
4628-CTTLA,Male,0,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,$39.30,"$2,111.45",Yes,53.7264631,FALSE,TRUE,FALSE,TRUE,FALSE,0,,$39.30
4307-KTUMW,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$93.90,"$5,029.20",Yes,53.55910543,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$93.90
4484-GLZOU,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$105.05,"$5,624.85",Yes,53.54450262,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$105.05
5385-SUIRI,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$104.20,"$5,568.35",Yes,53.4390595,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$104.20
1591-NFNLQ,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$80.00,"$4,242.35",Yes,53.029375,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$80.00
0843-WTBXE,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$85.45,"$4,517.25",Yes,52.8642481,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$85.45
6646-VRFOL,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$103.85,"$5,485.50",Yes,52.82137699,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$103.85
6313-GIDIT,Male,1,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,$54.45,"$2,854.55",Yes,52.4251607,FALSE,TRUE,FALSE,TRUE,FALSE,0,,$54.45
1323-OOEPC,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$98.40,"$5,149.50",Yes,52.33231707,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$98.40
0823-HSCDJ,Male,1,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,$49.15,"$2,550.90",Yes,51.90030519,FALSE,TRUE,FALSE,TRUE,FALSE,0,,$49.15
2834-SPCJV,Male,0,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,$84.10,"$4,348.65",Yes,51.70808561,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$84.10
5889-JTMUL,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$95.05,"$4,888.70",Yes,51.43293004,TRUE,TRUE,TRUE,TRUE,TRUE,1,,$95.05
5364-XYIRR,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$94.65,"$4,812.75",Yes,50.84786054,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$94.65
4143-HHPMK,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,$85.35,"$4,338.60",Yes,50.83304042,FALSE,TRUE,TRUE,TRUE,TRUE,0,,$85.35
8749-JMNKX,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),$93.80,"$4,750.95",Yes,50.64978678,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$93.80
0895-DQHEW,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,$104.30,"$5,278.15",Yes,50.605465,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$104.30
4554-YGZIH,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),$90.05,"$4,547.25",Yes,50.49694614,FALSE,TRUE,TRUE,TRUE,TRUE,1,,$90.05
